q1.result,q2-case2.result,q3.result,q4-v1-domestic.result,q4-v1-inter.result,q4-v2-domestic.result,q4-v2-inter.result,q5.result,q6.result,q7.result,q8.result,q8_v2_indexed.result,q9.result,q9_v2.result,q9_v3_join.result,q10.result,q10_v2_indexed.result,q11.result,q12.result
58.550,83.566,4.370,8.994,8.928,7.827,7.821,57.511,58.810,55.773,9321.748 ,57.394,1172.529 ,4869.867 ,14.035,50129.474 ,120136.105 ,642.734,9.367
55.343,81.011,4.540,8.947,9.310,7.363,7.317,55.903,70.978,56.889,11338.225 ,56.391,1157.705 ,4987.599 ,13.570,50208.402 ,119777.466 ,642.443,9.789
57.671,80.745,4.099,9.187,8.405,7.601,7.589,57.751,61.433,70.873,10927.845 ,57.181,1190.601 ,5027.721 ,18.152,50298.649 ,119913.687 ,636.113,9.407
53.652,81.324,4.139,9.067,9.274,7.553,7.593,57.262,74.997,81.363,10511.047 ,57.202,1141.124 ,4850.019 ,13.566,50106.306 ,119926.557 ,640.873,9.332
57.581,82.692,3.842,9.034,9.604,7.927,7.485,59.133,71.248,62.176,9685.530 ,57.181,1080.693 ,4740.576 ,14.495,49843.136 ,119804.135 ,639.827,9.591
53.969,81.368,4.518,8.880,9.255,7.753,7.450,57.302,61.443,64.668,10618.625 ,58.729,1105.349 ,4641.818 ,14.982,50505.131 ,119371.812 ,640.225,9.546
53.913,81.140,5.965,9.038,9.012,7.622,10.033,59.224,61.012,59.238,10119.943 ,57.001,1151.334 ,4873.979 ,13.952,51832.508 ,119619.183 ,649.621,10.062
57.245,82.501,4.687,9.951,8.400,6.955,7.820,61.270,63.239,62.679,10582.552 ,56.976,1190.725 ,5128.178 ,14.566,49996.819 ,119788.264 ,664.776,9.134
55.337,80.356,4.293,9.110,8.920,7.469,7.988,59.399,63.278,57.621,10924.134 ,56.783,1160.093 ,5383.322 ,14.264,49876.735 ,119337.804 ,651.718,9.230
56.194,81.139,6.549,8.859,8.930,7.567,8.028,61.506,55.799,56.155,9649.308 ,56.562,1177.873 ,4903.769 ,14.459,50141.398 ,119153.055 ,684.580,9.412
54.500,80.173,4.308,9.134,8.891,7.742,8.248,61.013,61.808,56.386,9265.668 ,57.279,1177.910 ,5041.855 ,14.548,49922.923 ,120340.127 ,644.339,9.146
57.637,80.936,4.244,8.343,8.608,7.675,8.689,56.289,56.226,59.477,10156.697 ,56.627,1128.882 ,5037.214 ,14.525,50958.411 ,713363.256 ,641.834,9.561
55.946,84.560,4.260,8.749,8.825,9.016,8.713,60.685,59.140,56.971,11634.728 ,56.695,1167.212 ,4866.225 ,15.431,51115.872 ,139004.548 ,648.438,9.285
54.692,80.930,4.287,9.343,8.543,8.947,9.056,59.107,60.255,57.123,10610.759 ,57.526,1128.728 ,4819.158 ,13.421,50988.731 ,146666.264 ,643.414,9.669
