Q1:_A.result,Q1:_A_inlined_where.result,Q1:_A_inlined_where_tailored.result,Q1:_A_rel_tailored.result,Q1:_rel_A.result,Q1:_rel_A_inlined_where.result,Q2:_Case2.result,Q2:_Case2_inlined.result,Q3.result,Q3_inline.result,Q4:_A.result,Q4:_A_inlined.result,Q4:_B.result,Q4:_B_inlined.result,Q4:_C.result,Q4:_C_inlined.result,Q4:_D.result,Q4:_D_inlined.result,Q5:_Average.result,Q5:_Average_inlined.result,Q6:Start-End_max.result,Q6:Start-End_max_tailored.result,Q7.result,Q8.result,Q8_cross.result,Q8_tailored.result,Q8_tailored_nocasematch.result,Q8_tailored_v2.result,Q9.result,Q9_inlined_where.result,Q10.result,Q10_inlined_where.result,Q11.result,Q11_inlined_where.result,Q11_inlined_where_v2.result,Q11_tailored.result,Q12.result
55,60,75,111,122,82,64,55,28,32,32,37,28,24,29,32,22,22,77,76,216,124,27,148,149,2713,2672,3568,35,47,215,138,207,600,1177,640,25
55,63,64,88,128,81,58,52,24,26,33,39,25,30,31,26,23,33,76,79,260,108,27,152,158,2781,2613,3680,36,37,219,137,176,640,1460,560,27
57,53,64,101,120,81,64,63,25,24,30,30,24,25,36,27,22,22,80,72,211,113,26,145,151,2695,2720,3400,36,36,214,200,214,568,1447,614,28
54,55,62,92,133,79,58,51,25,24,34,33,23,25,28,28,22,22,77,77,256,118,27,167,158,2702,2584,3474,39,37,221,158,206,578,1144,656,34
64,54,65,135,119,97,62,79,24,24,30,34,30,30,28,33,23,22,73,74,220,113,26,148,168,2567,2575,3222,38,36,232,170,205,623,1192,625,31
63,56,63,88,124,91,58,54,36,24,36,30,25,24,29,27,23,22,76,71,205,113,27,146,154,2551,2622,3289,36,36,222,165,178,591,1514,599,30
70,65,64,91,137,81,56,79,25,24,34,34,25,24,28,28,28,27,77,71,217,119,27,151,155,2637,2514,3188,36,35,230,170,207,601,1131,611,25
82,56,84,95,137,81,59,53,23,30,40,32,26,23,31,28,22,22,72,75,206,120,28,149,160,2558,2561,3182,36,42,238,167,192,595,1286,667,31
69,52,72,84,125,80,66,54,26,26,31,31,25,24,29,37,23,22,84,82,220,132,29,148,156,2623,2633,3134,35,35,220,150,187,594,1154,578,25
69,54,64,87,122,82,71,70,24,24,31,31,30,33,29,27,22,23,80,74,202,109,28,164,160,2629,2593,3188,36,36,237,151,206,655,1031,589,26
66,61,65,84,119,80,64,58,24,24,32,30,28,23,32,35,39,22,73,77,228,117,27,152,152,2616,2608,3431,37,38,217,144,190,622,1046,562,25
61,65,64,87,117,78,73,63,24,25,36,34,25,24,29,28,23,27,77,78,205,102,27,149,173,2659,2534,3270,38,35,233,136,184,611,1063,682,25
61,52,68,86,126,79,74,53,24,32,31,29,24,24,30,30,25,23,75,73,229,114,28,161,172,2692,2539,3152,36,41,240,139,217,631,1162,585,26
56,52,66,95,120,81,72,70,24,24,31,31,30,23,39,27,28,24,75,76,204,111,27,152,157,2610,2681,3154,35,39,252,140,187,639,1408,648,27
