q1-opposite.result,q1.result,q2-case1.result,q2-case2.result,q3.result,q4-v1-domestic.result,q4-v1-inter.result,q4-v2-domestic.result,q4-v2-inter.result,q4-v3-domestic.result,q4-v3-inter.result,q5.result,q6.result,q7.result,q8.result,q9.result,q10.result,q11.result,q12.result
27.072,14.612,12.024,15.674,3.021,16.936,19.816,16.550,18.515,12.841,15.986,17.445,18.737,51.623,35570.324 ,2373.911 ,373.654,732.592,6.314
25.393,14.419,11.673,14.986,3.029,21.970,19.424,15.328,20.364,14.425,16.462,17.448,18.851,54.229,35303.416 ,2534.460 ,375.557,769.734,6.128
25.692,15.005,11.729,15.980,2.851,16.209,19.066,15.630,17.849,14.257,16.852,17.789,18.509,56.340,34917.915 ,2556.631 ,366.272,755.554,6.284
28.065,15.154,11.776,21.106,3.389,16.125,19.249,15.948,18.615,13.794,17.271,17.427,22.884,52.178,35057.214 ,2491.918 ,373.253,844.183,6.240
26.031,15.360,12.569,17.900,3.739,17.121,19.567,14.740,18.141,13.818,15.355,17.934,17.945,54.081,34989.333 ,2363.146 ,391.291,792.072,5.538
25.849,17.811,12.050,15.769,2.940,16.169,20.186,15.527,17.560,11.975,15.248,17.424,18.628,52.138,35253.782 ,2241.847 ,377.485,792.547,6.441
26.549,15.072,12.840,16.520,2.794,16.782,19.289,15.452,18.858,14.663,15.523,17.843,18.631,52.110,34872.887 ,2252.250 ,408.504,820.985,5.569
25.025,15.127,12.238,15.313,3.137,19.552,19.354,15.787,18.499,14.584,17.450,17.732,18.368,51.529,34915.018 ,2258.890 ,408.503,889.703,6.026
27.221,15.477,12.345,18.262,3.647,21.632,19.518,15.755,19.263,12.640,15.764,20.515,18.052,51.970,37223.611 ,2264.153 ,391.584,834.422,5.897
27.198,15.004,11.762,16.707,3.848,21.924,19.385,15.540,17.753,12.468,16.310,17.357,17.962,52.543,38165.316 ,2273.908 ,417.767,790.990,6.283
25.941,15.094,12.858,15.515,3.712,17.912,18.812,14.924,17.915,13.400,24.013,17.626,18.682,51.143,39723.244 ,2351.637 ,401.091,1196.871 ,6.297
34.384,14.975,12.364,16.309,3.179,15.996,19.188,14.692,18.297,14.303,17.241,19.246,18.707,51.961,39210.968 ,2416.349 ,358.997,874.460,5.917
26.036,15.859,12.526,15.710,3.304,16.019,18.784,15.379,19.306,15.214,15.898,18.353,18.497,52.546,38203.983 ,2504.740 ,342.912,949.518,5.838
25.362,15.010,12.075,14.925,3.811,16.146,18.690,14.714,18.606,13.038,15.486,40.497,18.815,54.196,39082.887 ,2389.803 ,351.395,1405.483 ,6.176
25.833,17.907,12.097,14.613,3.617,16.669,19.722,15.322,17.994,13.117,16.338,33.803,18.454,52.237,40356.836 ,2356.791 ,353.415,1050.232 ,5.725
25.611,15.392,12.019,16.242,3.055,17.153,19.329,14.719,19.256,13.726,16.514,23.577,18.130,54.470,39928.827 ,2278.987 ,364.388,821.439,6.223
26.904,14.698,12.870,15.243,3.791,16.143,19.192,15.235,17.515,13.036,15.395,32.899,18.238,52.251,38001.101 ,2244.331 ,378.058,817.491,5.591
26.111,15.609,12.347,15.758,3.029,17.141,19.366,18.431,18.681,15.024,16.122,19.722,19.048,52.251,40507.719 ,2230.149 ,353.550,787.562,6.362
24.935,14.712,11.896,14.527,3.300,16.123,20.020,15.652,19.186,12.326,16.066,20.723,17.938,52.338,41878.033 ,2277.706 ,371.843,796.903,6.263
26.314,14.784,12.066,16.226,3.635,17.521,19.297,20.373,17.611,13.017,16.624,20.356,18.499,51.675,39657.973 ,2251.261 ,353.966,906.196,5.860
25.828,15.877,12.318,15.004,3.404,16.273,20.002,14.889,16.289,13.809,16.054,18.642,18.806,53.402,39405.173 ,2276.521 ,354.034,881.311,6.901
25.723,15.164,11.084,14.668,3.209,16.587,19.736,15.297,17.390,13.154,19.092,18.374,18.416,52.862,41377.522 ,2236.585 ,354.109,811.049,5.682
25.335,14.888,12.118,15.621,3.465,16.355,19.128,14.889,18.354,12.469,15.797,23.711,18.422,52.669,40008.671 ,2247.936 ,353.666,844.187,5.762
36.143,16.464,13.133,16.278,3.505,16.173,19.180,14.976,18.216,17.676,16.372,19.002,18.001,54.704,40647.424 ,2220.440 ,347.678,822.403,6.221
25.784,14.893,13.127,15.295,2.853,16.753,19.071,15.656,17.959,19.211,16.549,18.868,17.936,53.408,42123.221 ,2244.246 ,347.200,756.363,5.733
26.169,14.317,13.365,16.578,3.435,16.088,19.087,15.914,18.776,18.237,21.393,19.248,23.096,52.821,43752.969 ,2238.858 ,336.832,752.724,6.363
25.429,14.217,12.314,15.137,4.019,17.078,18.154,16.366,18.060,13.444,16.116,20.603,18.662,58.061,38099.950 ,2233.160 ,347.558,676.220,5.819
25.297,14.116,13.136,16.934,3.113,16.900,19.132,15.188,17.923,14.703,15.634,20.180,18.398,51.211,38738.921 ,2289.704 ,347.931,672.731,6.063
26.426,14.261,13.623,16.233,3.003,16.628,20.209,15.947,23.542,12.930,15.549,18.908,18.593,52.376,39453.567 ,2231.759 ,341.755,680.871,6.941
29.681,13.380,13.414,15.827,3.137,17.010,19.587,14.309,17.747,12.970,16.087,19.239,18.690,54.068,38823.396 ,2243.545 ,349.332,751.490,5.563
26.030,13.671,11.992,16.699,3.049,16.339,19.351,15.180,18.088,12.821,15.476,19.361,18.839,52.936,40350.134 ,2231.628 ,338.493,758.808,6.391
25.753,14.797,12.379,19.040,3.469,16.606,18.930,15.357,17.847,13.173,15.676,18.439,18.017,51.528,42869.371 ,2235.199 ,347.863,733.461,6.100
25.293,14.374,12.225,16.673,3.420,17.158,19.511,15.442,17.658,13.540,15.576,18.699,18.488,52.532,42340.283 ,2238.949 ,346.187,741.026,5.322
26.317,15.063,12.646,16.619,3.790,16.534,19.297,14.048,17.990,14.595,16.311,19.974,19.326,53.451,44089.215 ,2249.300 ,340.481,753.028,5.921
25.855,15.117,11.645,16.434,3.084,20.242,17.712,19.383,20.806,13.992,16.545,19.256,18.490,52.622,42140.844 ,2265.439 ,351.193,743.010,5.730
25.505,15.236,11.992,16.327,3.428,14.982,18.910,15.239,17.966,16.250,16.626,18.553,20.174,51.159,40986.594 ,2265.458 ,341.464,737.629,6.257
26.100,14.535,12.572,15.879,3.113,16.533,18.928,14.728,18.379,13.079,17.901,18.888,17.671,51.027,41731.791 ,2354.872 ,349.448,684.570,5.887
25.244,15.147,12.145,17.298,3.440,16.278,20.837,15.658,17.893,12.250,16.472,17.598,18.420,52.327,40319.947 ,2274.208 ,349.613,692.967,6.976
25.349,15.147,12.545,15.280,3.050,16.228,19.999,15.436,19.188,14.444,16.195,18.343,18.732,52.367,38518.503 ,2244.628 ,339.532,696.883,5.852
26.277,15.317,13.166,16.517,3.850,16.105,19.124,14.483,18.230,12.952,20.583,19.413,18.213,51.986,38585.046 ,2245.365 ,344.200,746.822,6.268
25.514,15.154,11.608,16.371,3.082,15.867,19.247,15.438,18.013,13.836,16.219,18.430,19.051,53.470,38853.451 ,2249.324 ,349.232,709.585,5.187
25.307,15.026,12.365,16.421,3.633,16.526,19.456,16.021,18.568,13.559,16.108,17.827,18.684,51.242,38103.413 ,2249.065 ,338.577,718.394,6.335
26.167,14.224,12.867,15.729,3.500,16.920,19.726,15.075,17.799,12.166,16.118,18.393,18.767,51.272,36353.547 ,2247.137 ,346.458,704.174,5.719
25.458,14.940,11.992,18.498,3.442,16.123,18.683,15.443,18.240,12.712,15.838,22.097,17.913,52.096,36428.748 ,2224.074 ,342.022,749.982,6.170
25.205,14.744,12.571,18.248,3.083,15.800,19.273,14.779,18.436,14.211,16.640,18.461,18.009,51.942,38357.577 ,2265.611 ,350.338,733.143,5.612
26.971,14.828,12.088,15.629,3.112,17.037,19.654,15.324,17.482,14.862,15.954,18.619,17.523,52.432,38087.354 ,2271.215 ,346.272,723.936,6.114
26.618,15.104,12.475,16.871,3.459,16.956,19.229,15.200,18.544,14.759,15.899,18.407,19.328,50.749,44656.285 ,2267.817 ,340.255,720.486,6.127
27.707,14.837,12.160,14.665,3.713,16.538,19.854,14.300,18.035,13.943,15.720,18.613,21.198,52.645,39339.525 ,2237.115 ,353.748,722.811,5.678
25.140,15.647,11.762,16.119,3.043,16.765,19.559,15.894,17.738,13.839,15.964,19.225,18.499,51.426,37693.456 ,2237.023 ,342.240,715.828,6.080
25.966,15.017,12.852,15.749,2.674,16.598,23.182,15.692,18.256,12.998,15.855,18.743,18.106,52.935,38218.249 ,2249.692 ,354.206,720.142,6.316
25.816,15.949,11.813,16.046,3.196,16.787,19.141,15.059,19.795,13.673,16.134,18.789,17.650,52.188,36751.707 ,2257.525 ,367.904,704.312,6.112
25.469,14.781,11.573,15.911,3.571,16.664,20.294,16.949,17.683,24.932,17.551,19.166,18.475,55.121,36838.573 ,2259.539 ,351.220,728.416,6.220
26.957,15.300,12.019,16.229,2.935,16.627,19.354,15.230,18.294,16.299,20.027,18.267,18.829,53.126,38520.172 ,2555.499 ,356.067,725.145,6.496
25.976,14.797,11.989,16.407,3.642,16.833,19.197,13.602,17.053,14.410,16.523,19.024,18.195,52.547,37288.899 ,2581.554 ,346.671,745.072,5.559
25.174,14.171,12.806,16.062,3.135,15.840,19.057,15.312,17.669,16.193,16.503,18.365,18.577,54.337,36756.198 ,2409.328 ,340.295,708.709,5.611
25.427,14.129,11.816,18.430,3.922,16.973,19.616,15.173,18.271,17.868,17.417,19.026,17.953,52.163,35232.078 ,2355.408 ,341.636,702.624,6.250
26.086,14.496,12.573,16.038,3.394,16.707,19.728,15.238,17.483,12.392,18.281,22.960,17.568,53.359,37230.249 ,2375.458 ,336.946,678.649,5.826
25.273,14.979,11.708,15.497,3.199,17.219,20.247,15.753,18.228,14.408,15.640,18.637,18.714,53.203,36912.017 ,2299.677 ,354.772,719.107,5.735
26.229,15.623,12.044,15.817,2.945,16.007,18.587,15.308,17.625,14.277,17.125,18.549,17.810,54.027,36608.897 ,2298.506 ,349.025,769.968,6.023
25.519,13.940,10.834,16.917,3.162,16.409,19.694,15.429,17.796,12.623,15.690,18.384,18.011,52.301,37877.994 ,2305.716 ,346.291,760.106,6.215
25.611,14.496,12.826,16.497,2.825,16.194,19.828,15.099,18.463,12.586,17.746,18.550,17.865,53.718,36143.465 ,2516.034 ,338.701,729.428,6.311
25.295,14.786,11.651,16.877,3.259,16.461,18.533,14.934,18.470,11.989,16.304,19.562,17.858,53.399,40739.786 ,2586.514 ,343.048,690.849,5.670
25.165,15.110,11.499,16.192,2.963,16.456,19.837,15.235,18.408,12.474,18.570,18.574,17.345,57.947,40059.466 ,2281.946 ,351.179,699.958,6.263
,,,,,,,,,,,,,,,,,,
